,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
236,1630579,Jericho Sims,1610612752,NYK,24.0,6-10,82,250,Texas,USA,2021,2,58,49,3.5,4.7,0.5,-6.0,0.117,0.176,0.075,0.774,0.044
237,1628975,Jevon Carter,1610612749,MIL,27.0,6-1,73,200,West Virginia,USA,2018,2,32,66,8.0,2.6,2.5,3.8,0.019,0.088,0.148,0.563,0.152
238,202710,Jimmy Butler,1610612748,MIA,33.0,6-7,79,230,Marquette,USA,2011,1,30,53,22.3,6.1,5.1,1.9,0.071,0.122,0.246,0.635,0.254
239,1629111,Jock Landale,1610612756,PHX,27.0,6-11,83,255,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,57,6.5,4.1,0.9,7.7,0.117,0.163,0.18,0.588,0.092
240,203925,Joe Harris,1610612751,BKN,31.0,6-6,78,220,Virginia,USA,2014,2,33,60,7.9,2.3,1.4,-2.0,0.016,0.085,0.138,0.616,0.089
241,204060,Joe Ingles,1610612749,MIL,35.0,6-9,81,220,None,Australia,Undrafted,Undrafted,Undrafted,33,6.7,3.0,3.0,5.4,0.013,0.109,0.126,0.577,0.171
242,1630580,Joe Wieskamp,1610612761,TOR,23.0,6-6,78,205,Iowa,USA,2021,2,41,3,3.0,0.7,0.3,-8.1,0.0,0.071,0.153,0.563,0.063
243,203954,Joel Embiid,1610612755,PHI,28.0,7-0,84,280,Kansas,Cameroon,2014,1,3,53,33.4,10.1,4.1,7.6,0.056,0.237,0.369,0.648,0.228
244,1631219,John Butler Jr.,1610612757,POR,20.0,7-0,84,190,Florida State,USA,Undrafted,Undrafted,Undrafted,9,0.2,0.2,0.1,7.0,0.03,0.033,0.067,0.2,0.048
245,1628381,John Collins,1610612737,ATL,25.0,6-9,81,226,Wake Forest,USA,2017,1,19,57,12.8,6.6,1.2,0.4,0.034,0.182,0.166,0.588,0.051
246,1629723,John Konchar,1610612763,MEM,26.0,6-5,77,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,57,5.7,4.4,1.4,8.9,0.036,0.15,0.103,0.561,0.078
247,202322,John Wall,1610612746,LAC,32.0,6-3,75,210,Kentucky,USA,2010,1,1,34,11.4,2.7,5.2,-6.6,0.018,0.096,0.259,0.497,0.38
248,1631098,Johnny Davis,1610612764,WAS,21.0,6-4,76,195,Wisconsin,USA,2022,1,10,13,1.2,0.6,0.2,-18.6,0.014,0.132,0.144,0.414,0.061
249,1630548,Johnny Juzang,1610612762,UTA,21.0,6-6,78,209,UCLA,USA,Undrafted,Undrafted,Undrafted,5,4.8,1.0,0.2,-26.9,0.027,0.046,0.189,0.446,0.031
