"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast","idTeam","hasGamesPlayedFlag","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","hasHeadShot","hasThumbnail","hasAction","urlPlayerPhoto"
"1473",FALSE,FALSE,"Mickael Gelabale",101153,6,2006,2012,NA,FALSE,"https://stats.nba.com/player/101153","https://stats.nba.com/media/players/230x185/101153.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/101153.png","https://stats.nba.com/media/players/700/101153.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/101153.png"
"1474",FALSE,FALSE,"Devean George",1904,10,1999,2009,NA,FALSE,"https://stats.nba.com/player/1904","https://stats.nba.com/media/players/230x185/1904.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1904.png","https://stats.nba.com/media/players/700/1904.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/1904.png"
"1475",FALSE,FALSE,"Jack George",76800,7,1953,1960,NA,FALSE,"https://stats.nba.com/player/76800","https://stats.nba.com/media/players/230x185/76800.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76800.png","https://stats.nba.com/media/players/700/76800.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76800.png"
"1476",TRUE,FALSE,"Paul George",202331,12,2010,2022,NA,FALSE,"https://stats.nba.com/player/202331","https://stats.nba.com/media/players/230x185/202331.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png","https://stats.nba.com/media/players/700/202331.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202331.png"
"1477",FALSE,FALSE,"Tate George",76801,4,1990,1994,NA,FALSE,"https://stats.nba.com/player/76801","https://stats.nba.com/media/players/230x185/76801.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76801.png","https://stats.nba.com/media/players/700/76801.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76801.png"
"1478",FALSE,FALSE,"Marcus Georges-Hunt",1627875,1,2016,2017,NA,FALSE,"https://stats.nba.com/player/1627875","https://stats.nba.com/media/players/230x185/1627875.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627875.png","https://stats.nba.com/media/players/700/1627875.png",TRUE,FALSE,FALSE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627875.png"
"1479",FALSE,FALSE,"Gus Gerard",76802,4,1976,1980,NA,FALSE,"https://stats.nba.com/player/76802","https://stats.nba.com/media/players/230x185/76802.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76802.png","https://stats.nba.com/media/players/700/76802.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76802.png"
"1480",FALSE,FALSE,"Derrick Gervin",76803,1,1989,1990,NA,FALSE,"https://stats.nba.com/player/76803","https://stats.nba.com/media/players/230x185/76803.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76803.png","https://stats.nba.com/media/players/700/76803.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76803.png"
"1481",FALSE,FALSE,"George Gervin",76804,9,1976,1985,NA,FALSE,"https://stats.nba.com/player/76804","https://stats.nba.com/media/players/230x185/76804.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76804.png","https://stats.nba.com/media/players/700/76804.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76804.png"
"1482",FALSE,FALSE,"Gorham Getchell",76805,0,1946,1946,NA,FALSE,"https://stats.nba.com/player/76805","https://stats.nba.com/media/players/230x185/76805.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76805.png","https://stats.nba.com/media/players/700/76805.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76805.png"
"1483",FALSE,FALSE,"John Gianelli",76806,7,1972,1979,NA,FALSE,"https://stats.nba.com/player/76806","https://stats.nba.com/media/players/230x185/76806.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76806.png","https://stats.nba.com/media/players/700/76806.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76806.png"
"1484",FALSE,FALSE,"Dick Gibbs",76807,4,1971,1975,NA,FALSE,"https://stats.nba.com/player/76807","https://stats.nba.com/media/players/230x185/76807.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76807.png","https://stats.nba.com/media/players/700/76807.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76807.png"
"1485",FALSE,FALSE,"Daniel Gibson",200789,6,2006,2012,NA,FALSE,"https://stats.nba.com/player/200789","https://stats.nba.com/media/players/230x185/200789.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200789.png","https://stats.nba.com/media/players/700/200789.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/200789.png"
"1486",FALSE,FALSE,"Dee Gibson",76808,0,1949,1949,NA,FALSE,"https://stats.nba.com/player/76808","https://stats.nba.com/media/players/230x185/76808.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76808.png","https://stats.nba.com/media/players/700/76808.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76808.png"
"1487",FALSE,FALSE,"Jonathan Gibson",1626780,2,2016,2018,NA,FALSE,"https://stats.nba.com/player/1626780","https://stats.nba.com/media/players/230x185/1626780.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626780.png","https://stats.nba.com/media/players/700/1626780.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626780.png"
